order_id,order_date,customer_id,city,category,product,quantity,unit_price,discount,payment_method,status
ORD00001,2026-02-14,CUST0104,Hai Phong,Mobile,Smartphone B,4,7700000,0.08,Card,COMPLETED
ORD00002,2026-01-15,CUST0155,Ha Noi,Laptop,Laptop Edu 13,2,12960000,0,Card,COMPLETED
ORD00003,2026-03-11,CUST0170,Da Nang,Laptop,Laptop Edu 13,2,14060000,0.15,EWallet,COMPLETED
ORD00004,2026-03-28,CUST0024,Ho Chi Minh,Accessory,Mouse Wireless,5,620000,0.15,Cash,COMPLETED
ORD00005,2026-03-16,CUST0087,Ha Noi,Software,Office Suite,1,1010000,0,Card,COMPLETED
ORD00006,2026-01-18,CUST0038,Hue,Software,Cloud Storage,2,970000,0,Cash,COMPLETED
ORD00007,2026-02-11,CUST0150,Ha Noi,Laptop,Laptop Gaming 15,2,13140000,0.1,Cash,COMPLETED
ORD00008,2026-02-25,CUST0071,Da Nang,Laptop,Laptop Edu 13,3,13550000,0,BankTransfer,COMPLETED
ORD00009,2026-02-19,CUST0023,Hue,Mobile,Smartphone B,3,5510000,0.08,EWallet,COMPLETED
ORD00010,2026-03-24,CUST0152,Ha Noi,Mobile,Tablet C,1,6870000,0,Cash,RETURNED
ORD00011,2026-02-13,CUST0188,Ha Noi,Mobile,Tablet C,2,6860000,0,BankTransfer,COMPLETED
ORD00012,2026-03-24,CUST0047,Hai Phong,Laptop,Laptop Pro 14,2,17370000,0.05,Card,COMPLETED
ORD00013,2026-01-24,CUST0205,Hue,Printer,Laser Printer,5,4320000,0.1,Cash,COMPLETED
ORD00014,2026-03-01,CUST0130,Hue,Accessory,Headphone,3,480000,0,Card,COMPLETED
ORD00015,2026-02-19,CUST0086,Can Tho,Software,Antivirus,4,1410000,0,Cash,RETURNED
ORD00016,2026-03-06,CUST0185,Hue,Accessory,USB-C Hub,4,320000,0.15,EWallet,COMPLETED
ORD00017,2026-02-01,CUST0110,Can Tho,Printer,Laser Printer,5,2670000,0.03,Card,COMPLETED
ORD00018,2026-01-05,CUST0156,Ha Noi,Printer,Ink Printer,5,3910000,0,BankTransfer,COMPLETED
ORD00019,2026-03-24,CUST0234,Ho Chi Minh,Printer,Laser Printer,4,2560000,0,EWallet,COMPLETED
ORD00020,2026-02-11,CUST0121,Hue,Printer,Laser Printer,1,3600000,0.1,Cash,COMPLETED
ORD00021,2026-01-02,CUST0081,Da Nang,Software,Office Suite,5,1730000,0.15,EWallet,COMPLETED
ORD00022,2026-02-26,CUST0070,Ha Noi,Mobile,Smartphone B,3,7640000,0.03,Cash,COMPLETED
ORD00023,2026-03-26,CUST0169,Can Tho,Software,Office Suite,5,1370000,0,EWallet,RETURNED
ORD00024,2026-01-25,CUST0096,Da Nang,Software,Antivirus,3,1200000,0,EWallet,COMPLETED
ORD00025,2026-03-26,CUST0114,Can Tho,Laptop,Laptop Gaming 15,5,17490000,0.15,BankTransfer,COMPLETED
ORD00026,2026-02-06,CUST0164,Ho Chi Minh,Printer,Laser Printer,5,4780000,0.15,EWallet,COMPLETED
ORD00027,2026-03-25,CUST0160,Hai Phong,Laptop,Laptop Edu 13,2,17720000,0.03,Cash,COMPLETED
ORD00028,2026-03-15,CUST0141,Da Nang,Mobile,Smartphone B,4,7260000,0.1,Card,CANCELLED
ORD00029,2026-02-25,CUST0027,Can Tho,Mobile,Smartphone B,4,5230000,0.03,Card,COMPLETED
ORD00030,2026-02-11,CUST0062,Hai Phong,Mobile,Tablet C,1,9800000,0.08,EWallet,COMPLETED
ORD00031,2026-03-14,CUST0237,Hue,Laptop,Laptop Pro 14,4,20330000,0,BankTransfer,COMPLETED
ORD00032,2026-03-04,CUST0206,Hai Phong,Laptop,Laptop Gaming 15,1,10120000,0.05,Card,COMPLETED
ORD00033,2026-02-03,CUST0059,Can Tho,Printer,Ink Printer,3,4840000,0,Cash,COMPLETED
ORD00034,2026-02-02,CUST0017,Ha Noi,Mobile,Smartphone A,4,5600000,0.1,BankTransfer,COMPLETED
ORD00035,2026-01-02,CUST0207,Hai Phong,Software,Cloud Storage,3,1640000,0,Card,COMPLETED
ORD00036,2026-02-10,CUST0051,Can Tho,Accessory,USB-C Hub,4,480000,0.05,Card,COMPLETED
ORD00037,2026-02-09,CUST0004,Hue,Laptop,Laptop Edu 13,5,20420000,0,Cash,COMPLETED
ORD00038,2026-01-22,CUST0236,Ho Chi Minh,Printer,Ink Printer,5,2280000,0.03,Cash,COMPLETED
ORD00039,2026-03-06,CUST0010,Da Nang,Printer,Laser Printer,5,3030000,0.08,BankTransfer,COMPLETED
ORD00040,2026-03-05,CUST0077,Ho Chi Minh,Software,Cloud Storage,2,1040000,0,Cash,COMPLETED
ORD00041,2026-01-22,CUST0131,Ha Noi,Accessory,USB-C Hub,1,530000,0,Cash,COMPLETED
ORD00042,2026-02-22,CUST0161,Da Nang,Mobile,Smartphone A,5,5100000,0,EWallet,COMPLETED
ORD00043,2026-03-26,CUST0103,Can Tho,Software,Office Suite,5,1400000,0.1,Cash,RETURNED
ORD00044,2026-02-12,CUST0240,Ha Noi,Software,Antivirus,4,1680000,0.05,Card,COMPLETED
ORD00045,2026-01-03,CUST0045,Hai Phong,Software,Antivirus,3,1130000,0,BankTransfer,COMPLETED
ORD00046,2026-03-25,CUST0132,Hue,Accessory,Keyboard Mechanical,5,480000,0.03,BankTransfer,COMPLETED
ORD00047,2026-03-01,CUST0062,Da Nang,Mobile,Tablet C,5,9570000,0.03,BankTransfer,COMPLETED
ORD00048,2026-02-05,CUST0151,Hai Phong,Printer,Laser Printer,3,2280000,0,EWallet,COMPLETED
ORD00049,2026-03-09,CUST0215,Da Nang,Laptop,Laptop Gaming 15,5,10590000,0.15,EWallet,COMPLETED
ORD00050,2026-03-24,CUST0138,Ha Noi,Accessory,Mouse Wireless,1,350000,0.03,EWallet,COMPLETED
ORD00051,2026-02-11,CUST0081,Ho Chi Minh,Printer,Laser Printer,3,2500000,0.08,EWallet,COMPLETED
ORD00052,2026-03-08,CUST0059,Can Tho,Mobile,Tablet C,3,9770000,0.08,EWallet,COMPLETED
ORD00053,2026-01-02,CUST0141,Ho Chi Minh,Software,Cloud Storage,2,1250000,0,Cash,COMPLETED
ORD00054,2026-01-28,CUST0240,Can Tho,Software,Antivirus,1,1030000,0,Cash,COMPLETED
ORD00055,2026-03-06,CUST0204,Da Nang,Software,Antivirus,0,1290000,0,BankTransfer,COMPLETED
ORD00056,2026-01-01,CUST0240,Da Nang,Printer,Laser Printer,4,3330000,0.03,Cash,COMPLETED
ORD00057,2026-01-04,CUST0171,Can Tho,Accessory,Mouse Wireless,4,660000,0.05,EWallet,COMPLETED
ORD00058,2026-03-02,CUST0175,Da Nang,Printer,Ink Printer,4,4240000,0,Card,COMPLETED
ORD00059,2026-02-23,CUST0028,Can Tho,Laptop,Laptop Edu 13,3,10060000,0,Card,COMPLETED
ORD00060,2026-02-27,CUST0215,Da Nang,Accessory,Mouse Wireless,4,440000,0.05,EWallet,COMPLETED
ORD00061,2026-02-14,CUST0060,Hue,Software,Office Suite,5,1120000,0.08,Cash,COMPLETED
ORD00062,2026-02-15,CUST0049,Da Nang,Accessory,USB-C Hub,3,690000,0,Cash,COMPLETED
ORD00063,2026-02-11,CUST0214,Hue,Printer,Laser Printer,2,3830000,0.05,EWallet,COMPLETED
ORD00064,2026-01-09,CUST0234,Ha Noi,Accessory,Keyboard Mechanical,3,380000,0.05,EWallet,COMPLETED
ORD00065,2026-02-17,CUST0092,Ho Chi Minh,Accessory,Headphone,3,380000,0.15,Cash,COMPLETED
ORD00066,2026-03-16,CUST0124,Da Nang,Accessory,USB-C Hub,5,690000,0.08,Card,COMPLETED
ORD00067,2026-02-27,CUST0177,Hai Phong,Software,Office Suite,3,1120000,0.05,Card,COMPLETED
ORD00068,2026-01-07,CUST0214,Da Nang,Software,Office Suite,2,1240000,0,Cash,COMPLETED
ORD00069,2026-01-10,CUST0163,Hue,Software,Office Suite,2,1640000,0.1,EWallet,COMPLETED
ORD00070,2026-03-09,CUST0105,Ha Noi,Accessory,USB-C Hub,4,440000,0.15,Card,RETURNED
ORD00071,2026-01-19,CUST0147,Hai Phong,Software,Office Suite,4,1380000,0.1,Card,COMPLETED
ORD00072,2026-03-26,CUST0125,Hai Phong,Software,Cloud Storage,3,1370000,0,Card,RETURNED
ORD00073,2026-01-09,CUST0133,Ha Noi,Software,Antivirus,4,1550000,0,Cash,COMPLETED
ORD00074,2026-02-13,CUST0075,Hai Phong,Software,Office Suite,3,870000,0,Card,COMPLETED
ORD00075,2026-03-31,CUST0035,Ha Noi,Accessory,USB-C Hub,2,390000,0,EWallet,CANCELLED
ORD00076,2026-03-25,CUST0008,Can Tho,Accessory,USB-C Hub,4,330000,0,EWallet,COMPLETED
